,from_node,to_node,edge_tt,edge_var,distance
,137682.0,137683.0,7.23,0.0,44.18
,137690.0,137691.0,8.95,0.0,103.81
,137704.0,137705.0,2.43,0.0,22.14
,137706.0,137707.0,16.21,0.0,113.7
,137710.0,137711.0,19.52,0.0,166.0
,137712.0,137713.0,5.92,0.0,57.69
,137714.0,137715.0,15.04,0.0,176.81
,137738.0,137739.0,7.97,0.0,118.87
,137750.0,137751.0,11.23,0.0,144.93
,137766.0,137767.0,4.18,0.0,48.45
,137768.0,137769.0,15.27,0.0,34.11
,137770.0,137771.0,7.7,0.0,73.42
,137774.0,137775.0,5.6,0.0,56.93
,137776.0,137777.0,11.36,0.0,145.75
,137788.0,137789.0,59.76,0.0,529.77
,137792.0,137793.0,14.15,0.0,204.28
,137834.0,137835.0,6.15,0.0,78.21
,137838.0,137839.0,15.03,0.0,129.44
,137840.0,137841.0,12.17,0.0,105.84
,137858.0,137859.0,0.59,0.0,7.96
,137860.0,137861.0,19.5,0.0,236.88
,137862.0,137863.0,11.49,0.0,28.62
,137866.0,137867.0,5.63,0.0,44.21
,137868.0,137869.0,14.42,0.0,181.63
,137870.0,137871.0,4.15,0.0,42.36
,137872.0,137873.0,3.34,0.0,44.09
,137902.0,137903.0,10.83,0.0,147.89
,137908.0,137909.0,8.98,0.0,69.47
,137910.0,137911.0,7.14,0.0,58.53
,137912.0,137913.0,22.85,0.0,153.14
,137914.0,137915.0,5.88,0.0,75.64
,137934.0,137935.0,25.6,0.0,162.81
,137938.0,137939.0,15.33,0.0,116.83
,137954.0,137955.0,26.77,0.0,112.06
,137958.0,137959.0,3.71,0.0,36.59
,137960.0,137961.0,14.07,0.0,187.54
,138062.0,138063.0,15.96,0.0,120.84
,138064.0,138065.0,16.34,0.0,126.44
,138066.0,138067.0,12.0,0.0,87.08
,138070.0,138071.0,19.36,0.0,236.88
,138072.0,138073.0,7.94,0.0,69.4
,138078.0,138079.0,6.66,0.0,95.74
,138082.0,138083.0,0.62,0.0,5.67
